m,E_max,E_F,E_rel
1,2.09593130322701,38.3374186996331,0.4664023191443829
2,1.7906705774913512,17.841945713326275,0.21706012405115832
3,3.1086244689504383e-15,3.7660399036617924e-14,4.581658871766864e-16
4,2.6256774532384952e-14,6.410762927020924e-14,7.799154971996085e-16
5,2.9032332093947844e-14,7.221833301093727e-14,8.78588051661518e-16
6,2.9032332093947844e-14,7.709948370810739e-14,9.379707665774587e-16
7,2.90878432451791e-14,8.407967893360233e-14,1.022889870462837e-15
8,2.919886554764162e-14,8.69310388519166e-14,1.057578718166343e-15
