model,n_params,train_MSE,train_RMSE,train_R2,test_MSE,test_RMSE,test_R2
additive_poly_M10,31,0.006538697525703657,0.08086221321299372,0.9891946779184955,0.005999503159039404,0.07745645976314308,0.9896367610726352
full_poly_degree5,56,0.006348829967069903,0.07967954547479486,0.989508437671994,0.006199250920083295,0.07873532193420749,0.9892917268726306
