model,n_params,train_MSE,train_RMSE,train_R2,test_MSE,test_RMSE,test_R2
linear,4,0.20572473842993236,0.45356889050058574,0.6600359551530897,0.20519835986976473,0.4529882557746555,0.6455507107068101
additive_poly_M10,31,0.006538697525703657,0.08086221321299372,0.9891946779184955,0.005999503159039404,0.07745645976314308,0.9896367610726352
