model,n_params,train_MSE,train_RMSE,train_R2,test_MSE,test_RMSE,test_R2
linear,4,0.505476327715569,0.7109685841973392,0.04216988384661957,0.497868447755734,0.7055979363318278,0.031072766123266038
additive_poly_M10,31,0.4965410136171916,0.7046566636435021,0.059101463965108514,0.4987976356183703,0.7062560694382529,0.02926442612993152
full_poly_degree5,56,0.025319164492122695,0.15911996886664695,0.9520225637944361,0.030842571403346255,0.17562053240821887,0.9399756953263448
