epsilon,triangle_violation_fraction,negative_distance_count,positive_eigenvalues,negative_eigenvalues,E_F_against_exact_D,E_rel_against_exact_D
0.0,0.0,0,3,0,3.7660399036617924e-14,4.581658871766864e-16
0.02,0.0011193415637860082,0,24,20,2.8036498250629363,0.03410842004578184
0.05,0.0029849108367626886,0,24,20,6.230068953377751,0.0757932773474029
0.1,0.00776954732510288,0,24,20,11.197130116549479,0.1362211549775017
0.15,0.013717421124828532,2,24,20,15.677681894124285,0.19073029542016215
0.2,0.020016460905349795,4,24,20,19.850086596387943,0.24149060468332392
